dataset,method,encoding,avg_metric,std_metric,y,y_std
LYMPHOGRAPHY,Find-RS,av,0.9055197631707901,0.061531849949638916,"[0.564334277124979, 0.7183902966274485, 0.791833937799087, 0.8269903953314881, 0.8685893054534765, 0.8845558796714537, 0.896928450203825, 0.9086083040625959, 0.9078051395293711, 0.9043164958036858, 0.909464237648822, 0.910633008102305, 0.9117177756079012, 0.9119779795389912, 0.9131265185720192, 0.9143869109570358, 0.9169193679515182, 0.9193721987012621, 0.922125098318564, 0.9232123742515643, 0.9232123742515643, 0.9257659270232598, 0.9271631924907519, 0.9283043606854647, 0.9269819980642483, 0.9269819980642483, 0.9260329190469345, 0.927567699282861, 0.9284559979760376, 0.9273237968438364, 0.9285266837724653, 0.9273237968438364, 0.9273237968438364, 0.9274125615201315, 0.9287349241413482, 0.9287349241413482, 0.9274125615201315, 0.9287349241413482, 0.9287349241413482, 0.9297836132799249, 0.9297836132799249, 0.9309002750489522, 0.9309002750489522, 0.9309002750489522, 0.9298078380741623, 0.9298078380741623, 0.9298078380741623, 0.9286636044096035, 0.9298078380741623, 0.9298078380741623]","[0.12305050941010733, 0.05298307228923432, 0.051799968993681646, 0.030351696581339304, 0.04181699089937572, 0.038858014106650386, 0.03522392479429991, 0.04019623059138653, 0.03700406413222983, 0.035374008024559915, 0.03372779692424768, 0.034032706710842714, 0.030619369809783442, 0.03103290386741135, 0.022664009538908063, 0.02578985567742737, 0.023996845972933223, 0.02804319514549159, 0.02180573237244066, 0.020486037122980957, 0.020486037122980957, 0.020858965466397966, 0.02240383132450251, 0.021845368830384543, 0.022943229398182607, 0.022943229398182607, 0.025272799050944803, 0.02478194659208528, 0.022643658134132508, 0.025038733248356357, 0.026512386661156642, 0.025038733248356357, 0.025038733248356357, 0.027338295078591635, 0.026402121503428657, 0.026402121503428657, 0.027338295078591635, 0.026402121503428657, 0.026402121503428657, 0.02676965378212545, 0.02676965378212545, 0.026387498684885657, 0.026387498684885657, 0.026387498684885657, 0.026685746939914344, 0.026685746939914344, 0.026685746939914344, 0.026543237781087536, 0.026685746939914344, 0.026685746939914344]"
LYMPHOGRAPHY,RIPPER,av,0.858600064221728,0.015803119242817684,"[0.7571523954033801, 0.8366785534063931, 0.8444563311841711, 0.8444563311841711, 0.8447075048880596, 0.8484328860946293, 0.8524918243538094, 0.8574815356547878, 0.8574815356547878, 0.8574815356547878, 0.8574815356547878, 0.8574815356547878, 0.8610748691781784, 0.8641529472562566, 0.8615071713949074, 0.8583429807717161, 0.8630251277073843, 0.8626349909437797, 0.8626349909437797, 0.8630251277073843, 0.8630251277073843, 0.8630251277073843, 0.8630251277073843, 0.8630251277073843, 0.8630251277073843, 0.8630251277073843, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566, 0.8641529472562566]","[0.030301071103242264, 0.030003038429684346, 0.03492492657963189, 0.03492492657963189, 0.03615533215880684, 0.03093211641121583, 0.034387272045356174, 0.039856703686858896, 0.039856703686858896, 0.039856703686858896, 0.039856703686858896, 0.039856703686858896, 0.04114615388964497, 0.04217226781667763, 0.04139349475856157, 0.041319563118013006, 0.04219384623208789, 0.041412858907332886, 0.041412858907332886, 0.04219384623208789, 0.04219384623208789, 0.04219384623208789, 0.04219384623208789, 0.04219384623208789, 0.04219384623208789, 0.04219384623208789, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763, 0.04217226781667763]"
LYMPHOGRAPHY,ID3,av,0.8125700481923671,0.1222560103321517,"[0.16416477207531244, 0.43698897589094415, 0.5704972806394611, 0.6332254644020361, 0.7224293196154296, 0.7391210946467145, 0.7712093065890842, 0.7978125581064524, 0.8089415508762008, 0.8188660492518848, 0.8264554916757525, 0.8270980180307166, 0.8236974180056439, 0.8255014479982157, 0.8260658662868015, 0.8326976235676943, 0.837526061942703, 0.8409165982276615, 0.8388383443442644, 0.8436335114685456, 0.8440077784374405, 0.8431770141324091, 0.8438725569259274, 0.843607304331561, 0.8457396455335224, 0.8454261521428631, 0.8517180489869046, 0.8514561298477925, 0.8517919866658608, 0.8551474055566844, 0.8549389423873117, 0.8576484651761425, 0.8605543045372688, 0.8697347508204061, 0.8683434849890299, 0.8683434849890299, 0.8662990183406137, 0.8671874438585657, 0.8663360054752676, 0.8651736929308413, 0.8714930298931322, 0.8710934294935317, 0.8723418689442184, 0.8753491423725445, 0.8725257387361326, 0.873850640874043, 0.8720461047135872, 0.8708811365030937, 0.8698155354374928, 0.872915412943622]","[0.07403683301341993, 0.1776259546436715, 0.2098562887649953, 0.1890244007504607, 0.10780358659376683, 0.08393455651465977, 0.09423604346344623, 0.06339645336543183, 0.059789862617447675, 0.054564085601649846, 0.04106964906759719, 0.04271397101499539, 0.04291560020653109, 0.038032544789402246, 0.03656954527504897, 0.04442144070722088, 0.04267310744006883, 0.04127033921576915, 0.04214623538973037, 0.040417685840331466, 0.03971280213269257, 0.04333836374820485, 0.04290520087506561, 0.04731849864320361, 0.04297023754111111, 0.04025791910596304, 0.0383148708771194, 0.04544830742800417, 0.048265476709475605, 0.04336916995062824, 0.040780113873515225, 0.034512501896167114, 0.03217336551176271, 0.029950397217686928, 0.03655616093041977, 0.03655616093041977, 0.034765835059682476, 0.038024386498571046, 0.03977865016855673, 0.04023769728450655, 0.03595037213027875, 0.0348648696569874, 0.03525404418816221, 0.0331401286267639, 0.03288451571709281, 0.034727166258325566, 0.033961411996718614, 0.034338670433734765, 0.03569311961147516, 0.034303100727976654]"
LYMPHOGRAPHY,AQ,av,0.81303139794704,0.1060080598559756,"[0.24103440164421394, 0.5429193325623716, 0.5983857703564527, 0.6528803746174361, 0.7137251860376876, 0.7380580194197142, 0.7525994608164129, 0.7710180178505505, 0.7906600981749433, 0.8014893286110926, 0.8099618256098875, 0.8217623442070139, 0.8234173051679512, 0.8258795905221792, 0.8258795905221792, 0.833847944952559, 0.8412694170575754, 0.8355515654589828, 0.8432822428671056, 0.8372555611134607, 0.843302967088138, 0.8485753766098381, 0.8485753766098381, 0.841212179197228, 0.8432284400050486, 0.8463694656460742, 0.8502050744056348, 0.8502050744056348, 0.8511393355260115, 0.8531670122810535, 0.8545726347710133, 0.8543444401482123, 0.8529035859124307, 0.8517520911690148, 0.8528232527426995, 0.8555364310372733, 0.8582077434646832, 0.8598926864680022, 0.8621460878285465, 0.8630252087076673, 0.8683892528161588, 0.8683892528161588, 0.8695315731545747, 0.8695315731545747, 0.8708511371247412, 0.872074607786414, 0.8733631231925765, 0.8718883919617477, 0.8732735169241085, 0.8722156268271352]","[0.2198108270778269, 0.11689795112967472, 0.10020023005959147, 0.09631711253267877, 0.09884201414736271, 0.10938084954123149, 0.10223807719206937, 0.10253619455228744, 0.10787907790568783, 0.10934383249774361, 0.09432745833708878, 0.0779826281670718, 0.060984905765405654, 0.05677703042660741, 0.05677703042660741, 0.04672279390970179, 0.04217276975303878, 0.03921244181823995, 0.034728724950631173, 0.038140111230804616, 0.03848545425269454, 0.035724621810411215, 0.035724621810411215, 0.04853361173012834, 0.049149602547101316, 0.043342155099609064, 0.036972575391096746, 0.036972575391096746, 0.03639852239245343, 0.03936775777828004, 0.03837094606192453, 0.03780775647292396, 0.03667552311744418, 0.03445978377795572, 0.03555588429844369, 0.034995909528952956, 0.0375394713899514, 0.037977507895878816, 0.040619808841219504, 0.039143321714496006, 0.04015437546413163, 0.04015437546413163, 0.037826707292642675, 0.037826707292642675, 0.038790248739991144, 0.03983379854187576, 0.04105983591442447, 0.04113389859769648, 0.04108477999115047, 0.04108439998305636]"
LYMPHOGRAPHY,BRS,av,0.8641997503594919,0.02954357348706111,"[0.7583371122269633, 0.7826257066970094, 0.8051095624174056, 0.8142977621873551, 0.8113577001877891, 0.8301077835998898, 0.8377806872964172, 0.8421218186287402, 0.8474373666786648, 0.8473264244504902, 0.8455583120041243, 0.844944066403837, 0.8511793200057604, 0.8576496531591303, 0.8611854043853157, 0.8603676378988153, 0.8575776060777891, 0.8576977371378582, 0.8627623019579937, 0.8617512311873134, 0.8647053895541932, 0.8629401406544821, 0.8630706881509823, 0.8647205512503018, 0.8638914871737405, 0.876999412961964, 0.8744139206199456, 0.8702170176602289, 0.8729503927660206, 0.8823917800664243, 0.8799270891139692, 0.8825000486590564, 0.8876736942013549, 0.8864355631208867, 0.8857750662954349, 0.8865198186245792, 0.8883560910325066, 0.8904641334201779, 0.8904544664495637, 0.890791848365893, 0.8930864543447093, 0.8898939019034457, 0.8923624478502526, 0.8898553439701511, 0.8898553439701511, 0.8895589129584327, 0.8906299683398329, 0.8906299683398329, 0.8906299683398329, 0.8911114132275921]","[0.02041273335343824, 0.034218515751787706, 0.04559823680159518, 0.0411698226093328, 0.041121377110694315, 0.047193748450073535, 0.037960998668683014, 0.0374727249396421, 0.0346937134984557, 0.037068264845592384, 0.037525292070083385, 0.039570749271784125, 0.029866644999907474, 0.02732196912798316, 0.029348037830618984, 0.03689081585715618, 0.028653101689035336, 0.02815093520358121, 0.026648976290025952, 0.03017525596442533, 0.03526982405139507, 0.042434538988859176, 0.03324167212034814, 0.035029906978967254, 0.0314216642974461, 0.029583406282913, 0.03253468060411964, 0.029238254462682807, 0.029337425569225552, 0.029159822655893227, 0.028644808431191274, 0.030164286851767856, 0.028753653480527542, 0.029375858832682077, 0.029709013240181038, 0.025735814085647592, 0.023862650399342007, 0.025586935068444932, 0.02336040946134799, 0.02306221625223072, 0.025207775903507573, 0.02565099459610367, 0.02517727549480019, 0.026543902103411402, 0.026543902103411402, 0.029098916434191918, 0.030783037682575582, 0.030783037682575582, 0.030783037682575582, 0.028518138549667178]"
MONKS1,Find-RS,av,0.9823553071395176,0.08390998849804546,"[0.4448649981621564, 0.7819565564012929, 0.8909438024124302, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.14269638497355264, 0.06214381012155402, 0.03933433028735396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
MONKS1,RIPPER,av,0.9880327521188138,0.05344016533027189,"[0.6723280933962774, 0.8101214350729757, 0.9191880774714359, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.02340934039739287, 0.015032515575927186, 0.014241906479030555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
MONKS1,ID3,av,0.9576840112321229,0.07457925987326659,"[0.6723280933962774, 0.7152827111376668, 0.7568558818343585, 0.7938146652907054, 0.8276712020032531, 0.857936782310946, 0.8923706187752973, 0.9210739768207515, 0.9470112502231759, 0.9745020047603073, 0.9783455213058101, 0.9767616208320851, 0.9820160306593673, 0.9820160306593673, 0.9824902287067871, 0.9807215212237939, 0.9847536658463488, 0.9847536658463488, 0.9865300437991047, 0.9878260393872049, 0.9861438727565845, 0.9861438727565845, 0.9861438727565845, 0.9861438727565845, 0.9861438727565845, 0.9861438727565845, 0.9861438727565845, 0.9848478771684844, 0.9865691736343332, 0.9878255222042343, 0.9878255222042343, 0.9894564048761059, 0.9892012065109992, 0.9895496385667482, 0.9895496385667482, 0.9903290747193185, 0.9921320097298008, 0.9932809818503303, 0.9932809818503303, 0.9932809818503303, 0.9932809818503303, 0.9932809818503303, 0.9925178800660188, 0.9925178800660188, 0.9929008599877331, 0.9929008599877331, 0.9929008599877331, 0.9929008599877331, 0.9929008599877331, 0.9929008599877331]","[0.02340934039739287, 0.02515543667975421, 0.036860583400581376, 0.04554742181653494, 0.049795458802809674, 0.057085349132833085, 0.054015810162728974, 0.053634296516023805, 0.059186375053703194, 0.055682807678092416, 0.049613277616126224, 0.04757429946485292, 0.04072118180949348, 0.04072118180949348, 0.03932358401696075, 0.0445445304965392, 0.03809429453308936, 0.03809429453308936, 0.03284796327703404, 0.029039418544162466, 0.029972956944534532, 0.029972956944534532, 0.029972956944534532, 0.029972956944534532, 0.029972956944534532, 0.029972956944534532, 0.029972956944534532, 0.033611290498905044, 0.02879320684217709, 0.025362625968018533, 0.025362625968018533, 0.02108246192037925, 0.020752118262742588, 0.020900723675236963, 0.020900723675236963, 0.01942073859894439, 0.016763993239102864, 0.01582063496639186, 0.01582063496639186, 0.01582063496639186, 0.01582063496639186, 0.01582063496639186, 0.016372476233049455, 0.016372476233049455, 0.0160571402901464, 0.0160571402901464, 0.0160571402901464, 0.0160571402901464, 0.0160571402901464, 0.0160571402901464]"
MONKS1,AQ,av,0.985785751663404,0.06469036247196501,"[0.5857169075197372, 0.8020496442901575, 0.9077494050627305, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9968858131487888, 0.9968858131487888, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.1414892186699703, 0.02037564064880995, 0.016969789961658505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009342560553633228, 0.009342560553633228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
MONKS1,BRS,av,0.9777666758257371,0.09366720851018218,"[0.4253293502482099, 0.6745059912607658, 0.8392743527900002, 0.9683352080989878, 1.0, 1.0, 1.0, 1.0, 0.9808888888888889, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.13940952904254894, 0.09147209057599427, 0.05767755203022928, 0.06809537270742887, 0.0, 0.0, 0.0, 0.0, 0.05733333333333337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
MONKS2,Find-RS,av,0.431220810146517,0.16682349883101513,"[0.03262174005762443, 0.07581794115514522, 0.10333459847519688, 0.1338899518095364, 0.1542957879451001, 0.17543687653449758, 0.1984907114260917, 0.22457046149807408, 0.25018458601261384, 0.2707184678268392, 0.28467387080117723, 0.3010121896317387, 0.31469908731849217, 0.3281763774335592, 0.34265780769448534, 0.3600726738924373, 0.3725126894153543, 0.382999213017772, 0.39557785298299747, 0.40754414796851046, 0.4213959371034182, 0.4307095436813035, 0.44474313813503696, 0.4529176161247017, 0.4657087920192769, 0.4791127772595479, 0.48559519194205303, 0.5003896919419369, 0.5116236248714111, 0.5187103251443012, 0.5265876150607115, 0.5342470459221417, 0.5428150097612453, 0.5509798393598364, 0.5618170293916015, 0.5700238460965924, 0.574057241452372, 0.5803937890350469, 0.5878319390784714, 0.5922774358380607, 0.594716994179328, 0.5995931021846812, 0.6035253128169986, 0.6073107901380035, 0.6127430499251496, 0.6149721747642285, 0.6176019936197027, 0.6222862752722866, 0.6224998779501396, 0.6245664743590181]","[0.011700802309558491, 0.021450156698500093, 0.028670268864093303, 0.03351819732716596, 0.0411933016567793, 0.04523815548090779, 0.04966887589746246, 0.05790675633260963, 0.05422244720414521, 0.051903526228432355, 0.05332241669045596, 0.0502553461339898, 0.052911175356808955, 0.047757802368243764, 0.05122351648907104, 0.05123072013259888, 0.05380320791953323, 0.05225621383323283, 0.052692535320647854, 0.04944298182959266, 0.044584624615021363, 0.039566714256824835, 0.04547341206777887, 0.045409250884188075, 0.044754037424512894, 0.04654696825761697, 0.03999921799662483, 0.038957140027015974, 0.03949373793468874, 0.041787848545223875, 0.04249820965156733, 0.04021126001629701, 0.03816860258339402, 0.03819800263494678, 0.03455915444582569, 0.032470812258413626, 0.032380226700776074, 0.029647200634562144, 0.02989567450754909, 0.029794517882877188, 0.03108227659094018, 0.030805414037164334, 0.030965949921030918, 0.029587346579983825, 0.028134549067157472, 0.03362027371545779, 0.03235614488207908, 0.032537565981498914, 0.03219310059596787, 0.03239130031556888]"
MONKS2,RIPPER,av,0.027820033845009258,0.023932221827356805,"[0.11675211114624762, 0.11481191712684569, 0.07515070306894833, 0.07479751226603618, 0.06067740700785897, 0.03858408120470577, 0.05400391157523006, 0.044139783569509136, 0.044139783569509136, 0.04219841296186013, 0.034707861185594074, 0.0347790761122427, 0.03283550812907075, 0.03287284942854798, 0.0309501385966424, 0.02743655925186101, 0.02743655925186101, 0.02743655925186101, 0.02743655925186101, 0.02743655925186101, 0.01935575117105293, 0.01935575117105293, 0.01766743948274124, 0.01766743948274124, 0.01766743948274124, 0.01766743948274124, 0.01766743948274124, 0.01766743948274124, 0.01766743948274124, 0.014099686481025974, 0.01771748118415909, 0.014135970951272708, 0.01411765593295769, 0.01411765593295769, 0.012248161176846817, 0.012248161176846817, 0.012248161176846817, 0.012248161176846817, 0.012248161176846817, 0.012248161176846817, 0.012248161176846817, 0.012248161176846817, 0.012248161176846817, 0.012248161176846817, 0.012248161176846817, 0.010853230923359495, 0.010853230923359495, 0.010853230923359495, 0.00927817206162368, 0.00927817206162368]","[0.08959599143746422, 0.09143678482178502, 0.06991491042149094, 0.07087010280927135, 0.06395470728672296, 0.03305203967123425, 0.05109625636417582, 0.03687150552392521, 0.03687150552392521, 0.037583868795568, 0.03513906950288885, 0.035239541842637355, 0.03656270348263601, 0.036568620453607606, 0.03670978831413688, 0.035614161743968954, 0.035614161743968954, 0.035614161743968954, 0.035614161743968954, 0.035614161743968954, 0.031519733573147676, 0.031519733573147676, 0.029039918553019003, 0.029039918553019003, 0.029039918553019003, 0.029039918553019003, 0.029039918553019003, 0.029039918553019003, 0.029039918553019003, 0.02635779438842749, 0.029103784708353772, 0.02636458230412082, 0.026361100060168643, 0.026361100060168643, 0.02665645152584686, 0.02665645152584686, 0.02665645152584686, 0.02665645152584686, 0.02665645152584686, 0.02665645152584686, 0.02665645152584686, 0.02665645152584686, 0.02665645152584686, 0.02665645152584686, 0.02665645152584686, 0.022930780324396754, 0.022930780324396754, 0.022930780324396754, 0.01895573135421437, 0.01895573135421437]"
MONKS2,ID3,av,0.29919228758100375,0.12966532572971987,"[0.028683654069468306, 0.045359287821158625, 0.05738611774349257, 0.0727668416406542, 0.08950181028270712, 0.10819240506420207, 0.12330420243662425, 0.13541120800190443, 0.14737383514497393, 0.1560240913975755, 0.17316128634062128, 0.1804058089583184, 0.1963878756596719, 0.204005792159403, 0.21710795476109862, 0.23114586226129147, 0.24673685596656664, 0.25928917152597963, 0.2701372435372316, 0.27582121138078336, 0.28555078080859764, 0.29230404594816295, 0.30016853593306964, 0.31104006893632374, 0.32056707218134783, 0.32882570576522563, 0.3380617680676222, 0.3466475243156942, 0.35699660937702804, 0.36384903995355283, 0.37022196328632995, 0.3805945857516367, 0.38619260117887627, 0.3910838581393704, 0.39785470242242005, 0.40268583530574914, 0.4092060980072709, 0.4146902089477334, 0.42184899092983075, 0.42967155415332564, 0.4337461021904918, 0.43952800203924197, 0.44016222480891765, 0.444091945369183, 0.4503910042106405, 0.4548054552911144, 0.4568036521164309, 0.4587617752185079, 0.4570269503847964, 0.4580332018579673]","[0.01444892821459979, 0.020301362042723828, 0.02262409388135482, 0.03120542580734856, 0.03807541832063704, 0.0354141891451254, 0.02952044789476461, 0.030647571762801796, 0.024679253457611135, 0.028130748399306866, 0.030320726226805157, 0.030904828984633793, 0.02729308805185118, 0.029569698467438846, 0.03337133171728655, 0.044302833245903804, 0.04048783083942819, 0.05105776973458085, 0.04918652947646354, 0.05075422629476114, 0.04947344479154497, 0.0510916205811741, 0.052644071710629015, 0.04612173068698385, 0.046673248465723884, 0.04224718856447002, 0.041662540899882694, 0.047179594374019904, 0.04356330033575186, 0.0431002990339163, 0.040792460654977575, 0.04147513757012873, 0.037935016992061345, 0.03684360005170147, 0.037544526467421686, 0.041729018937458846, 0.03949218307455525, 0.03778079690848644, 0.03982370748220536, 0.0414385040697489, 0.041063293638569184, 0.04102179598314029, 0.03860326154799026, 0.040533681344510214, 0.040678288816939176, 0.04247460999049307, 0.04437826963302915, 0.046024432982745875, 0.0435625063558713, 0.04165854389904055]"
MONKS2,AQ,av,0.4043555298069561,0.1379589670499416,"[0.03984430036580651, 0.076517773454755, 0.11245238674433045, 0.14206604963903402, 0.17023768145288556, 0.1964066241964076, 0.2209094076876798, 0.23239374956146253, 0.2535635947934233, 0.2738935338305119, 0.2965164776155799, 0.31870503581956144, 0.3273223799520754, 0.3418605783678362, 0.35338819106315966, 0.3647797237632752, 0.37650527231203357, 0.3855368187164343, 0.39241235840390254, 0.40148650205712777, 0.40855425524273326, 0.4191531458244822, 0.42795969584933474, 0.4318005831498196, 0.4416936105154045, 0.4483155338950183, 0.4543630038765304, 0.4609666593537158, 0.4663897305414483, 0.4734310056819272, 0.4829763807054096, 0.48799259499715275, 0.4968510862645511, 0.5002479377358366, 0.504301596892827, 0.5076485370076544, 0.5136920718910855, 0.5182725695796707, 0.5236668455378853, 0.5317051172347591, 0.5335932072897307, 0.5369188558078735, 0.5395060930933769, 0.5386425451159009, 0.5399239813063316, 0.5432335021380804, 0.5485415299428559, 0.5493261777169522, 0.5550683942850597, 0.5562418020771143]","[0.022014616969625214, 0.03460930465201098, 0.0289726208898949, 0.035208911416500455, 0.03902030814692767, 0.052434724140907274, 0.04268197365597693, 0.04451339835877044, 0.03851560424927867, 0.03583367485928472, 0.03742975848738364, 0.041759806723480584, 0.040393258031590565, 0.03729044642153967, 0.03678522289438271, 0.04045743200356118, 0.03748290175092333, 0.04036363789522807, 0.03929602979229495, 0.037275995381847754, 0.03694110555463777, 0.03986263608144173, 0.04193674447317237, 0.041796430169038196, 0.04292389594288516, 0.039131493451761444, 0.03579943603632742, 0.03815692368885757, 0.0420306826347932, 0.043047835242780115, 0.03763353438553136, 0.0358504081988937, 0.037295755770304966, 0.03545311016831694, 0.03896759801026794, 0.036919488423289876, 0.03453470888266916, 0.036651543952595525, 0.03518474911888349, 0.03310577082803921, 0.031763444188703874, 0.03227636529788959, 0.03229807220876876, 0.033738993386738504, 0.03447320016865758, 0.029213023429956835, 0.031737671960295574, 0.03177459164453657, 0.030156995226489805, 0.0317680602050209]"
MONKS2,BRS,av,0.09401932005502912,0.03469352327890621,"[0.11595770975995438, 0.1455399494739217, 0.17320777921928954, 0.16504183589766203, 0.1700741848781443, 0.17031816912822992, 0.1678675464151074, 0.14065240074194602, 0.1362203488746779, 0.1420202225844713, 0.1392246847404747, 0.1220740994698311, 0.10808213339715547, 0.10578498899474673, 0.10725289257995796, 0.10184011565724109, 0.09817538416232093, 0.09326513278538553, 0.0945897880271679, 0.09568692914799576, 0.09048638142885954, 0.08701355355122388, 0.0867714588704909, 0.08048155511748818, 0.08724889906846907, 0.07525569004121177, 0.07536320552741325, 0.07009176850368266, 0.07418140205383518, 0.07589411949938822, 0.07214192725195462, 0.06875431004117434, 0.06875431004117434, 0.06661847968320092, 0.06465929600973154, 0.06469580280012802, 0.06492722688476311, 0.06490991985811029, 0.06637956749053778, 0.06290793102824711, 0.06290793102824711, 0.06286871534197261, 0.06654429466461073, 0.0664174888235192, 0.06429250315892956, 0.06429250315892956, 0.0643715170653771, 0.06297898757651733, 0.06297898757651733, 0.0628999736700698]","[0.027196029091590166, 0.03320701795821008, 0.05015143818698744, 0.0353422630385363, 0.04548451413974628, 0.045463315850049944, 0.04494650212729833, 0.05016954376724952, 0.05217042527928831, 0.05562114753863776, 0.05083851639453187, 0.05023936211819615, 0.05072883396530818, 0.055160079430993374, 0.05507911123910985, 0.04223828326922003, 0.04427097776042419, 0.04792290706163464, 0.05068201631560335, 0.04390588837347358, 0.04202542913967546, 0.04262666358727192, 0.04901683088978534, 0.04117940084080447, 0.04276224239045378, 0.045125485900376426, 0.04835432909358465, 0.04918727447942045, 0.0423920746579938, 0.041179481348450626, 0.04419597342049174, 0.04709647971347404, 0.04709647971347404, 0.04835363212807227, 0.04976866813156899, 0.04973520313424684, 0.05002504730089171, 0.050041067695411945, 0.0570523661309998, 0.051909861283514706, 0.051909861283514706, 0.05194239951357631, 0.05728655664278761, 0.05702120471223954, 0.058678908336767394, 0.058678908336767394, 0.058711968378813595, 0.05653518535873836, 0.05653518535873836, 0.05649890421802294]"
