x y
1.0 0.01173394836576622
2.0 0.049549139556781446
3.0 0.07298805342214
4.0 0.10756053519839712
5.0 0.12220536717805802
6.0 0.1452380470926298
7.0 0.16425230796640294
8.0 0.17009261852843
9.0 0.19411846976844765
10.0 0.21287199216936922
11.0 0.23830232798469725
12.0 0.24892443667444236
13.0 0.2525802639652385
14.0 0.26456931646084986
15.0 0.27452832529450333
16.0 0.2947600446509774
17.0 0.30980424602752055
18.0 0.3208803233151712
19.0 0.3396535516914263
20.0 0.3481005393728154
21.0 0.35586076858506993
22.0 0.36565168571445933
23.0 0.3694289187571997
24.0 0.3768445371745577
25.0 0.38400117036802706
26.0 0.39417729128399565
27.0 0.4001262211873218
28.0 0.40422119562666786
29.0 0.41515871533409515
30.0 0.42170066774502524
31.0 0.4288356806512048
32.0 0.42424449278151766
33.0 0.43053031201032843
34.0 0.4379456781953794
35.0 0.4459210517201315
36.0 0.4534505665661561
37.0 0.4564343323986855
38.0 0.45727279725786285
39.0 0.4696217773355873
40.0 0.4750699037363384
41.0 0.4743870976264491
42.0 0.4809216321000562
43.0 0.4877901013685296
44.0 0.49104464850546764
45.0 0.5024897205764608
46.0 0.5083250579270162
47.0 0.5078025099782544
48.0 0.51447258710585
49.0 0.5208007410879764
50.0 0.5249296523443953
