x y
1.0 0.794532152094152
2.0 0.8503414255280929
3.0 0.856329005045212
4.0 0.8544998140332837
5.0 0.848022705237824
6.0 0.8507737725100857
7.0 0.8592387129907348
8.0 0.859348560321826
9.0 0.8614547518204452
10.0 0.869017791594948
11.0 0.870484409400029
12.0 0.8746446916744356
13.0 0.8746446916744356
14.0 0.8871523913479218
15.0 0.8782810679796554
16.0 0.8754246910157413
17.0 0.8768281756183105
18.0 0.8707237418778973
19.0 0.8735689456520647
20.0 0.8752229002229664
21.0 0.8752229002229664
22.0 0.8752229002229664
23.0 0.8752229002229664
24.0 0.8829498987325373
25.0 0.8811064183463091
26.0 0.8715858595645563
27.0 0.8715858595645563
28.0 0.8728905851554544
29.0 0.8745298237735909
30.0 0.8728905851554544
31.0 0.8796166113689285
32.0 0.8777440918264959
33.0 0.8819724177382685
34.0 0.8819724177382685
35.0 0.8819724177382685
36.0 0.8819724177382685
37.0 0.8819724177382685
38.0 0.8777440918264959
39.0 0.8819724177382685
40.0 0.8819724177382685
41.0 0.8819724177382685
42.0 0.8819724177382685
43.0 0.8819724177382685
44.0 0.8819724177382685
45.0 0.8819724177382685
46.0 0.8819724177382685
47.0 0.8819724177382685
48.0 0.8819724177382685
49.0 0.8819724177382685
50.0 0.8777440918264959
