x y
1.0 0.249576329381679
2.0 0.42423278114352436
3.0 0.5588240083637297
4.0 0.6760268051583745
5.0 0.7855288587901306
6.0 0.8751890481314893
7.0 0.9400165903175521
8.0 1.0
9.0 1.0002847459204705
10.0 1.000369538429034
11.0 1.0004942308567497
12.0 1.000306251675785
13.0 1.0002797681060587
14.0 1.0008922263457325
15.0 1.0006534670805876
16.0 1.0006534670805876
17.0 1.0008484019950243
18.0 1.0008760567050976
19.0 1.0011965864905645
20.0 1.0005212854940506
21.0 1.0003594330867496
22.0 1.0001379334251927
23.0 1.0001379334251927
24.0 1.0001379334251927
25.0 1.0001379334251927
26.0 1.0000233683407758
27.0 1.0000233683407758
28.0 1.000253769801899
29.0 1.0000819862839478
30.0 0.999912527685262
31.0 1.0001930132021009
32.0 1.0001930132021009
33.0 1.0000274391451778
34.0 1.0000274391451778
35.0 1.0000274391451778
36.0 1.0000274391451778
37.0 1.0000274391451778
38.0 1.0000274391451778
39.0 1.0002413372517016
40.0 1.0002413372517016
41.0 0.9999611531711999
42.0 1.0001281979246661
43.0 1.0001281979246661
44.0 1.0001281979246661
45.0 1.000253769801899
46.0 1.0003633183983223
47.0 1.000196927014181
48.0 1.0003633183983223
49.0 1.0003633183983223
50.0 1.0002281681577763
