x y
1.0 0.5729857142743833
2.0 0.6498971904067266
3.0 0.6498971904067266
4.0 0.6623587162253559
5.0 0.6623587162253559
6.0 0.6623587162253559
7.0 0.6631284086825594
8.0 0.6631284086825594
9.0 0.6631284086825594
10.0 0.5712690276101697
11.0 0.6271962927380967
12.0 0.6258345889611197
13.0 0.5731077280432795
14.0 0.5731077280432795
15.0 0.5731077280432795
16.0 0.5731077280432795
17.0 0.5731077280432795
18.0 0.5730565773037944
19.0 0.5731077280432795
20.0 0.5731077280432795
21.0 0.5731077280432795
22.0 0.5731077280432795
23.0 0.5731077280432795
24.0 0.5731077280432795
25.0 0.5731077280432795
26.0 0.5731077280432795
27.0 0.5732203947189658
28.0 0.5732203947189658
29.0 0.5732203947189658
30.0 0.5732203947189658
31.0 0.5731077280432795
32.0 0.5731077280432795
33.0 0.5731077280432795
34.0 0.5731077280432795
35.0 0.5731077280432795
36.0 0.5731077280432795
37.0 0.5731077280432795
38.0 0.5731077280432795
39.0 0.5731077280432795
40.0 0.5731077280432795
41.0 0.5731077280432795
42.0 0.5731077280432795
43.0 0.5731077280432795
44.0 0.5731077280432795
45.0 0.5731077280432795
46.0 0.5731077280432795
47.0 0.5731077280432795
48.0 0.5731077280432795
49.0 0.5731077280432795
50.0 0.5731077280432795
