x y
1.0 1.752329006351051e-05
2.0 0.0006875466909974752
3.0 -0.0024763605789614347
4.0 -0.012868632785778503
5.0 -0.016088915241546174
6.0 -0.016669021830373117
7.0 -0.01938425007548529
8.0 -0.020030577988127504
9.0 -0.020896969415975353
10.0 -0.022445523110303164
11.0 -0.024208249228977297
12.0 -0.0256794052011816
13.0 -0.028538598120368852
14.0 -0.02878436048379375
15.0 -0.03457429848763269
16.0 -0.03580365587538861
17.0 -0.035989965055661904
18.0 -0.03669598528217968
19.0 -0.03736103606874
20.0 -0.038759610618546186
21.0 -0.03914088808812413
22.0 -0.034165789395636026
24.0 -0.035367265375399026
25.0 -0.034439436474983404
26.0 -0.03610400344705217
28.0 -0.03729168575654093
30.0 -0.03226844592751174
31.0 -0.033530513911784965
33.0 -0.03661746585175718
35.0 -0.03838060195531007
37.0 -0.03186706144534013
39.0 -0.03222931576585972
41.0 -0.01245717424590187
44.0 0.03837544090431444
46.0 0.0738562160725183
49.0 0.12058882870522583
52.0 0.14547705723582705
55.0 0.19607783621146388
58.0 0.22525429977719535
62.0 0.27233659237251207
65.0 0.2891654918343996
69.0 0.3174340234183326
73.0 0.3483531498420417
77.0 0.38997056504899047
81.0 0.4138598026295638
86.0 0.44500897534340217
91.0 0.46491392501776696
96.0 0.4905732110204225
102.0 0.5122788003574741
108.0 0.5312006662178547
114.0 0.5508942900270346
121.0 0.5737864402929373
128.0 0.5895663916392071
135.0 0.6116542268719283
143.0 0.6347843781137139
151.0 0.649321054274959
160.0 0.6638483437351639
169.0 0.6768565924035498
178.0 0.6914363708278459
189.0 0.7062966992206893
200.0 0.7185177543510983
211.0 0.7314712662221792
223.0 0.7419655449381022
236.0 0.7553402880588163
249.0 0.7653496355065118
