x y
1.0 0.6639234182782571
2.0 0.7500380294384089
3.0 0.7810076598786276
4.0 0.7776575565285242
5.0 0.7714490381657831
6.0 0.7734603518050037
7.0 0.7774674124674125
8.0 0.7755968577021208
9.0 0.7778932717632407
10.0 0.7825264763964455
11.0 0.7832986771686461
12.0 0.7900439806322159
13.0 0.7900439806322159
14.0 0.7958651864534217
15.0 0.795224160812396
16.0 0.7928712196359254
17.0 0.7936434204081262
18.0 0.7946136213783273
19.0 0.7969665625547978
20.0 0.7992838531073825
21.0 0.7992838531073825
22.0 0.7992838531073825
23.0 0.7992838531073825
24.0 0.8027201585522962
25.0 0.8008375450417755
26.0 0.7950839490442773
27.0 0.7950839490442773
28.0 0.7971860511463793
29.0 0.7995033416989641
30.0 0.7971860511463793
31.0 0.8014710670593022
32.0 0.7995884535487818
33.0 0.8025371714974998
34.0 0.8025371714974998
35.0 0.8025371714974998
36.0 0.8025371714974998
37.0 0.8025371714974998
38.0 0.7995884535487818
39.0 0.8025371714974998
40.0 0.8025371714974998
41.0 0.8025371714974998
42.0 0.8025371714974998
43.0 0.8025371714974998
44.0 0.8025371714974998
45.0 0.8025371714974998
46.0 0.8025371714974998
47.0 0.8025371714974998
48.0 0.8025371714974998
49.0 0.8025371714974998
50.0 0.7995884535487818
