dataset,method,dataset_size,f1,accuracy,tn,fp,fn,tp,strategy,T,pool_size,best_k,time_elapsed,seed,avg_ruleset_len,avg_rule_len
MONKS3,AqClassifier,0.5,1.0,1.0,120,0,0,150,bp,1,1,-1,1.0540006160736084,5,2,2.0

MONKS3,AqClassifier,0.5,1.0,1.0,130,0,0,140,bp,1,1,-1,0.9570002555847168,6,2,2.0

MONKS3,AqClassifier,0.5,1.0,1.0,119,0,0,151,bp,1,1,-1,1.0489907264709473,7,2,2.0

MONKS3,AqClassifier,0.5,1.0,1.0,131,0,0,139,bp,1,1,-1,1.2460086345672607,8,3,2.3333333333333335

MONKS3,AqClassifier,0.5,1.0,1.0,126,0,0,144,bp,1,1,-1,1.452998399734497,9,3,2.3333333333333335

VOTE,AqClassifier,0.5,0.9,0.9170506912442397,118,14,4,81,bp,1,1,-1,6.282003879547119,0,9,3.6666666666666665

VOTE,AqClassifier,0.5,0.8994708994708994,0.9124423963133641,113,18,1,85,bp,1,1,-1,10.475997686386108,1,14,3.357142857142857

VOTE,AqClassifier,0.5,0.8862275449101796,0.9124423963133641,124,12,7,74,bp,1,1,-1,5.10996413230896,2,7,3.0

VOTE,AqClassifier,0.5,0.8813559322033898,0.9032258064516129,118,10,11,78,bp,1,1,-1,9.775971174240112,3,10,3.6

VOTE,AqClassifier,0.5,0.8433734939759037,0.880184331797235,121,18,8,70,bp,1,1,-1,14.663958549499512,4,17,3.2941176470588234

VOTE,AqClassifier,0.5,0.9325842696629213,0.9447004608294931,122,8,4,83,bp,1,1,-1,9.174042224884033,5,13,3.4615384615384617

VOTE,AqClassifier,0.5,0.8902439024390244,0.9170506912442397,126,9,9,73,bp,1,1,-1,7.680958032608032,6,10,3.3

VOTE,AqClassifier,0.5,0.9371428571428572,0.9493087557603687,124,8,3,82,bp,1,1,-1,11.612000226974487,7,13,3.4615384615384617

VOTE,AqClassifier,0.5,0.8965517241379309,0.9170506912442397,121,14,4,78,bp,1,1,-1,8.788000583648682,8,10,3.0

VOTE,AqClassifier,0.5,0.8461538461538463,0.8709677419354839,112,19,9,77,bp,1,1,-1,10.147002935409546,9,13,3.769230769230769

BREAST,AqClassifier,0.5,0.4466019417475728,0.5808823529411765,56,41,16,23,bp,1,1,-1,5.014873266220093,0,24,3.7916666666666665

BREAST,AqClassifier,0.5,0.4,0.625,68,33,18,17,bp,1,1,-1,5.9949376583099365,1,27,3.185185185185185

BREAST,AqClassifier,0.5,0.34693877551020413,0.5294117647058824,55,42,22,17,bp,1,1,-1,4.779973268508911,2,22,3.3636363636363638

BREAST,AqClassifier,0.5,0.5054945054945055,0.6691176470588235,68,28,17,23,bp,1,1,-1,6.2589898109436035,3,25,3.36

BREAST,AqClassifier,0.5,0.391304347826087,0.5882352941176471,62,33,23,18,bp,1,1,-1,5.032020568847656,4,22,3.772727272727273

BREAST,AqClassifier,0.5,0.5161290322580645,0.6691176470588235,67,29,16,24,bp,1,1,-1,5.519999742507935,5,27,3.5555555555555554

BREAST,AqClassifier,0.5,0.4444444444444444,0.5588235294117647,52,48,12,24,bp,1,1,-1,5.066000461578369,6,25,3.4

BREAST,AqClassifier,0.5,0.505050505050505,0.6397058823529411,62,32,17,25,bp,1,1,-1,3.6530392169952393,7,18,3.611111111111111

BREAST,AqClassifier,0.5,0.5052631578947367,0.6544117647058824,65,33,14,24,bp,1,1,-1,6.137956619262695,8,28,3.5357142857142856

BREAST,AqClassifier,0.5,0.40963855421686746,0.6397058823529411,70,34,15,17,bp,1,1,-1,4.3540027141571045,9,25,3.6

HIV,AqClassifier,0.5,0.75,0.6675603217158177,63,114,10,186,bp,1,1,-1,25.326435089111328,0,36,3.1666666666666665

